Quel âge avez-vous?;Quels outils utilisez-vous pour le wireframing?;Dans quel pays vivez-vous?;Quels outils utilisez-vous pour le design d'interface?;Quel métier pratiquez-vous dans le domaine du web ?;Quels outils utilisez-vous pour le prototypage?;Quels outils utilisez-vous pour le brainstorming?;Combien d'années d'expérience avez-vous?;Combien de designers travaillent dans votre organisation?;Quels outils utilisez-vous pour communiquer dans votre équipe?;Dans quel genre d'organisation travaillez-vous?;Quels CMS ou Frameworks de code utilisez-vous?;Quels outils utilisez-vous pour l'édition du code?;Quels outils utilisez-vous pour gérer des systèmes de design?;Quels outils utilisez-vous pour la gestion de versions et de fichiers?
19 ou moins;Illustrator;Suisse;Adobe XD;interactive media designer;Adobe XD;Papier;1 à 5;6 à 10;github;école d'art;;;;
19 ou moins;Papier, Adobe XD, Illustrator;Suisse;Adobe XD, Illustrator;interactive media designer;Adobe XD;Papier, Illustrator;1 à 5;6 à 10;;école;;;;
20 à 29;Sketch;France;Photoshop;responsable connaissance clients, webdesigner, directeur artistique web, chef de projet, veilleur stratégique;UXPin;Papier;5 à 10;11 à 50;Basecamp; ;Bootstrap, Joomla;Coda, Sublime Text, Vim;Craft;Abstract, Google Drive
19 ou moins;Figma, Papier, Adobe XD;Suisse;Adobe XD, Figma, Illustrator;concepteur multimédia;Adobe XD, Figma;Papier, Illustrator;1 à 5;6 à 10; ;école;Bootstrap, WordPress;Dreamweaver;Figma;Dropbox
20 à 29;Papier, Adobe XD, Illustrator;Suisse;Adobe XD, InDesign;interactive media designer, directeur artistique web;Adobe XD, Illustrator;Papier, Illustrator;10 à 15;2 à 5;WhatsApp;Indépendant;;;;
20 à 29;Adobe XD, Illustrator;Suisse;Adobe XD, Illustrator;interactive media designer;Adobe XD;Papier;1 à 5;6 à 10; ;école;;;;
19 ou moins;Adobe XD;Suisse;Adobe XD, Illustrator;interactive media designer;Adobe XD;Papier;1 à 5;6 à 10;; ;Bootstrap;Atom;;
30 à 39;Papier;Suisse;HTML / CSS, Illustrator, Photoshop;concepteur web, chef de projet, développeur web, développeur base de données, architecte d’information, architecte web;InVision;Papier;10 à 15;2 à 5;Slack;Freelance,  Startup;Bootstrap, Django;Vim, PyCharm;;Github, Google Drive
30 à 39;Axure;Suisse;HTML / CSS, Sketch;designer d'interaction;Axure, Framer;Papier;10 à 15;Seulement moi;Skype;Freelance;Neat;Chocolat;Sketch Libraries;Dropbox
40 à 49;OmniGraffle;Suisse;Photoshop;concepteur web, développeur web;HTML / CSS;OmniGraffle;15 à 20;Seulement moi;Skype;Freelance;Joomla, WordPress;BBEdit; ;Github
20 à 29;Papier, Figma;Belgique;Figma;architecte web, intégrateur web, webdesigner, UI designer, développeur web, architecte d’information, chef de projet web mobile, ergonome web, graphiste web, UX designer, concepteur web, chef de projet;Figma, InVision;Papier, Figma;5 à 10;Seulement moi;Slack;Product; ;Visual Studio Code;Figma;Google Drive
20 à 29;Adobe XD, Balsamiq, Zeplin;Suisse;Adobe XD, HTML / CSS, Photoshop;content manager, chef de projet;Adobe XD;Papier;5 à 10;6 à 10;HipChat, Stride;Consulting, communication ;Bootstrap, Joomla, WordPress;Atom, Visual Studio Code;Zeplin;Bitbucket, Git 
30 à 39;Papier, HTML / CSS;Belgique;HTML / CSS;content manager, graphiste web, webdesigner;Sketch;Papier;5 à 10;Seulement moi;Je travaille seule;Freelance;Joomla, WordPress;Sublime Text; ;Google Drive
40 à 49;Adobe XD;Belgique;Adobe XD, Photoshop;chef de projet;Adobe XD;Papier;20 à 30;2 à 5;Slack;Agence de communication;Bootstrap;Sublime Text;Sketch Libraries;Google Drive
40 à 49;Papier;Suisse;Adobe XD, Illustrator, Photoshop;webdesigner;Adobe XD, Axure;Papier, Pro create ;15 à 20;Seulement moi; ;Freelance ;WordPress;Dreamweaver, Edge ; ;Dropbox, Google Drive, One drive
50 à 59;Papier;Belgique;InDesign, Photoshop, Illustrator;directeur artistique web;Adobe XD;A + C + D;15 à 20;11 à 50;Basecamp;Agence de communication;WordPress;Dreamweaver;Craft;Google Drive
